course_id,question_id,question_text,option_a,option_b,option_c,option_d,correct_answer
C001,1,"What is the output of the following Python code? print(type(10/3))","<class 'int'>","<class 'float'>","<class 'complex'>","<class 'str'>",B
C001,2,"Which of the following correctly implements method overloading in Python?","Using @overload decorator","Defining multiple methods with same name","Using default arguments and *args","Python doesn't support overloading",C
C001,3,"What is the time complexity of accessing an element in a Python list by index?",O(1),O(n),O(log n),O(n^2),A
C001,4,"Which of the following is a mutable data type in Python?",Tuple,String,Frozenset,List,D
C001,5,"What is the purpose of the __slots__ attribute in Python classes?","To restrict attribute creation","To create class variables","To define static methods","To create private methods",A
C001,6,"What is the difference between deep copy and shallow copy?","Deep copy copies nested objects, shallow copy does not","Shallow copy copies nested objects, deep copy does not","Both are same","Neither copies nested objects",A
C001,7,"What is a decorator in Python?","Function that modifies another function","Class that inherits from another","A design pattern","A type of variable",A
C001,8,"What is the Global Interpreter Lock (GIL) in Python?","Allows only one thread to execute Python bytecode at a time","Prevents memory leaks","Manages garbage collection","Handles imports",A
C001,9,"What is the purpose of the yield keyword?","Creates a generator function","Returns a value","Terminates a function","Raises an exception",A
C001,10,"What is the time complexity of inserting an element at the beginning of a Python list?",O(1),O(n),O(log n),O(n^2),B
C002,1,"What is the worst-case time complexity of QuickSort with poor pivot selection?",O(n log n),O(n^2),O(n),O(log n),B
C002,2,"Which data structure would be most efficient for implementing a priority queue?",Array,"Linked List",Heap,Stack,C
C002,3,"What is the space complexity of Merge Sort?",O(1),O(log n),O(n),O(n^2),C
C002,4,"In a Red-Black Tree, what color is the root node?",Red,Black,Blue,Green,B
C002,5,"What is the main advantage of a B-Tree over a Binary Search Tree?","Faster search","Handles large blocks of data","Less memory usage","Easier implementation",B
C002,6,"What is the time complexity of searching in a balanced Binary Search Tree?",O(1),O(log n),O(n),O(n log n),B
C002,7,"What is a hash table collision?","Two keys mapping to same index","Table overflow","Memory error","Key not found",A
C002,8,"What is the time complexity of Dijkstra's algorithm using a binary heap?",O(V^2),O(E log V),O(V log V),O(E + V),B
C002,9,"What is the difference between a stack and a queue?","LIFO vs FIFO","FIFO vs LIFO","Both are same","Neither uses order",A
C002,10,"What is the time complexity of finding the median in an unsorted array?",O(1),O(n),O(n log n),O(n^2),B
C003,1,"What is the fundamental difference between L1 and L2 regularization?","L1 produces sparse solutions, L2 does not","L2 produces sparse solutions, L1 does not","Both produce sparse solutions","Neither produces sparse solutions",A
